Account Name,Street Address,City,State,Country,Domain,Salesforce Account ID,Segment,2H REP,2H ISR,2H DISTRICT,DM QCV Owner,STID,DISTRICT,GEN FSR,GEN ISR,DM Roster,INDUSTRY VERTICAL,INDUSTRY SEGMENT
CATHOLIC HEALTH SYSTEM OF LONG ISLAND INC,,ROCKVILLE CENTRE,New York,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,62454,NY METRO,"CAMMALLERI,PETE","DAVALOS,MARCUS",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
SYNOVUS FINANCIAL CORP,,COLUMBUS,Georgia,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,96761,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Financial Services Industry:2,Banking
NORTON HEALTHCARE INC,,LOUISVILLE,Kentucky,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,86458,MID ATLANTIC,"ARDIZONE,TOM","LOERA,SANDRA",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
DOW CORNING CORPORATION,,MIDLAND,Michigan,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,68873,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Mfg & Dist:4,Process Manufacturing
SUPERVALU INC,,EDEN PRAIRIE,Minnesota,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,97320,NEW BUSINESS,"LANGMACK,TAMARA","BROWN,RENEE",WHITFIELD KARA,Mfg & Dist:4,Retail
FOREST RIVER INC,,ELKHART,Indiana,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,600570020,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Other Industries:5,Real Estate
BB&T CORPORATION,,BOYERTOWN,Pennsylvania,,,,CORPORATE,Mock Darren,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,56629,SOUTH EAST,"DURANGE,JASON","MERRICK,REBECCA",WHITFIELD KARA,Financial Services Industry:2,Banking
TAYLOR CORPORATION,,NORTH MANKATO,Minnesota,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,97277,NEW BUSINESS,"LANGMACK,TAMARA","BROWN,RENEE",WHITFIELD KARA,Mfg & Dist:4,Discrete - Media & Ent.
THE KROGER CO,,CINCINNATI,Ohio,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,98081,MID ATLANTIC,"JOHNSON,TRACY","STEVENSON,SARA",WHITFIELD KARA,Mfg & Dist:4,Retail
ICF INTERNATIONAL INC,,FAIRFAX,Virginia,,,,CORPORATE,Jordan Megan,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,76800,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Other Industries:5,Business Consultancy
KNIGHT HOLDCO INC ,,JERSEY CITY,New Jersey,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,513401,NY METRO,"SCHWAM,JACOB","GASPAR,MAGGIE",WHITFIELD KARA,Financial Services Industry:2,Financial Markets
AFLAC INCORPORATED,,COLUMBUS,Georgia,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,355933,SOUTH EAST,"GORHAM,ALEC","MERRICK,REBECCA",WHITFIELD KARA,Financial Services Industry:2,Insurance
LINCOLN NATIONAL CORPORATION,,RADNOR,Pennsylvania,,,,CORPORATE,Plavchak Raymond P,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,80212,NORTH EAST,"BERG,JIM","MANUELITO,MELINA",WHITFIELD KARA,Financial Services Industry:2,Insurance
NEWELL RUBBERMAID INC,,BOCA RATON,Florida,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,85636,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Mfg & Dist:4,Discrete - Energy & Nat. Res.
ASSOCIATED BANC-CORP,,GREEN BAY,Wisconsin,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,58674,NORTH CENTRAL,"SULLIVAN,MARIA","RUSSELL,TOM",WHITFIELD KARA,Financial Services Industry:2,Banking
TCF FINANCIAL CORPORATION,,WAYZATA,Minnesota,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,97595,NEW BUSINESS,"LANGMACK,TAMARA","BROWN,RENEE",WHITFIELD KARA,Financial Services Industry:2,Banking
PRESENCE HEALTH ,,BROADVIEW,Illinois,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,513378,NORTH CENTRAL,"HAMLIN,HOLLY","NIDEL,MATHEW",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
GUNDERSON LUTHERAN HEALTH SYSTEM INC ,,LA CROSSE,Wisconsin,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,513361,NORTH CENTRAL,"ELHARD,MARK","BACA,AMANDA",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
JONES LANG LASALLE INC,,CHICAGO,Illinois,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,78229,NEW BUSINESS,"LANGMACK,TAMARA","BROWN,RENEE",WHITFIELD KARA,Other Industries:5,Real Estate
CARLSON HOLDINGS INC,,MINNETONKA,Minnesota,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,61312,NORTH CENTRAL,"ELHARD,MARK","BACA,AMANDA",WHITFIELD KARA,Mfg & Dist:4,Wholesale Trade
QUEST DIAGNOSTICS INCORPORATED,,MADISON,New Jersey,,,,CORPORATE,Taterka David,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,89728,NY METRO,"CAMMALLERI,PETE","DAVALOS,MARCUS",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
