Account Name,Street Address,City,State,Country,Domain,Salesforce Account ID,Segment,2H REP,2H ISR,2H DISTRICT,DM QCV Owner,STID,DISTRICT,GEN FSR,GEN ISR,DM Roster,INDUSTRY VERTICAL,INDUSTRY SEGMENT
FIFTH THIRD BANCORP,,CINCINNATI,Ohio,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,70949,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Financial Services Industry:2,Banking
FREDERICK C SMITH CLINIC INC,,MARION,Ohio,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,72495,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
FRUIT OF THE LOOM INC,,BOWLING GREEN,Kentucky,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,73096,MID ATLANTIC,"COPLEN,GINA","BRESACH,DANIEL",WHITFIELD KARA,Mfg & Dist:4,Retail
GARDEN CITY HOSPITAL,,GARDEN CITY,Michigan,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,72792,WEST,"SANDERSON,KIMBERLY","VALENCIA,JOHN",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
GREIF INC,,DELAWARE,Ohio,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,75186,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Mfg & Dist:4,Process Manufacturing
HERMAN MILLER INC,,ZEELAND,Michigan,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,74343,MID ATLANTIC,"MADIS,PHIL","EVERHEART,TERESA",WHITFIELD KARA,Mfg & Dist:4,Discrete - Retail & CG
JONES DAY,,CLEVELAND,Ohio,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,78213,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Other Industries:5,Legal Services
KELLOGG COMPANY,,BATTLE CREEK,Michigan,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,77307,NORTH CENTRAL,"SULLIVAN,MARIA","RUSSELL,TOM",WHITFIELD KARA,Mfg & Dist:4,Consumer Packaged Goods
LEARNING CARE GROUP (US) NO 2 INC,,NOVI,Michigan,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,80228,NY METRO,"LULL,TIM","GASPAR,MAGGIE",WHITFIELD KARA,Public Sector & Education:6,Education:Higher Ed/University
LIMITED STORES LLC,,NEW ALBANY,Ohio,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,500176567,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Financial Services Industry:2,Banking
NETJETS INC,,COLUMBUS,Ohio,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,600570017,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Mfg & Dist:4,Transportation&Trans Services
OHIOHEALTH CORPORATION,,COLUMBUS,Ohio,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,86365,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
OWENS-ILLINOIS INC,,PERRYSBURG,Ohio,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,84879,MID ATLANTIC,"MADIS,PHIL","EVERHEART,TERESA",WHITFIELD KARA,Mfg & Dist:4,Process Manufacturing
RECRUIT CO LTD,,CINCINNATI,Ohio,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,515475,MID ATLANTIC,"JOHNSON,TRACY","STEVENSON,SARA",WHITFIELD KARA,Mfg & Dist:4,Discrete - Media & Ent.
SCHOTTENSTEIN STORES CORPORATION,,COLUMBUS,Ohio,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,93094,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Mfg & Dist:4,Retail
THE SHERWIN-WILLIAMS COMPANY,,CLEVELAND,Ohio,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,99221,MID ATLANTIC,"HAMILTON,STEPHEN","CARTER,DINA",WHITFIELD KARA,Mfg & Dist:4,Process Manufacturing
TWEEN BRANDS INC,,New Albany,Ohio,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,500176566,NEW BUSINESS,"TERSIGNI,JOE","SANCHEZ,RICH",WHITFIELD KARA,Mfg & Dist:4,Retail
WESTERN & SOUTHERN MUTUAL HOLDING COMPANY,,CINCINNATI,Ohio,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,103107,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Financial Services Industry:2,Financial Markets
ZIMMER HOLDINGS INC,,WARSAW,Indiana,,,,CORPORATE,Cadieux Rich,Salazar Alex,EAST/HUNTER,WHITFIELD KARA,101720,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Mfg & Dist:4,Discrete - High Tech
ACOSTA INC,,JACKSONVILLE,Florida,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,354891,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Mfg & Dist:4,Wholesale Trade
ALSTON & BIRD LLP,,ATLANTA,Georgia,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,356370,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Other Industries:5,Legal Services
ATHENS REGIONAL MEDICAL CENTER INC,,ATHENS,Georgia,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,56560,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
CHICOS FAS INC,,FORT MYERS,Florida,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,61970,SOUTH EAST,"RIGONI,APRIL","PADILLA,MICHAEL",WHITFIELD KARA,Mfg & Dist:4,Retail
CRAWFORD & COMPANY,,ATLANTA,Georgia,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,67677,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Financial Services Industry:2,Insurance
FIDELITY NATIONAL INFORMATION SERVICES INC,,JACKSONVILLE,Florida,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,70859,SOUTH EAST,"RENEGAR,JOHN","STRILICH,SAGE",WHITFIELD KARA,Financial Services Industry:2,Financial Markets
GRAPHIC PACKAGING HOLDING COMPANY,,MILWAUKEE,Wisconsin,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,74303,SOUTH EAST,"WEST,ROY","EILAND,JASON",WHITFIELD KARA,Mfg & Dist:4,Process Manufacturing
GREENBERG TRAURIG PA,,MIAMI,Florida,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,74887,SOUTH EAST,"HARMAN,KIM","JARAMILLO,TIMO",WHITFIELD KARA,Other Industries:5,Legal Services
INDEPENDENT PURCHASING COOPERATIVE INC,,MIAMI,Florida,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,76474,SOUTH EAST,"HARMAN,KIM","JARAMILLO,TIMO",WHITFIELD KARA,Other Industries:5,Business Services
JUNIOR FOOD STORES OF WEST FLORIDA INC,,crestview,Florida,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,601890332,MID ATLANTIC,"JOHNSON,TRACY","STEVENSON,SARA",WHITFIELD KARA,Mfg & Dist:4,Oil and Gas
METAVANTE TECHNOLOGIES INC,,MILWAUKEE,Wisconsin,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,82963,SOUTH EAST,"RENEGAR,JOHN","STRILICH,SAGE",WHITFIELD KARA,0,0
MOHAWK INDUSTRIES INC,,CALHOUN,Georgia,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,83106,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Mfg & Dist:4,Process Manufacturing
NEWTON HEALTH SYSTEM INC,,COVINGTON,Georgia,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,85706,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
NEXTERA ENERGY INC,,JUNO BEACH,Florida,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,85933,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Mfg & Dist:4,Utilities
OFFICEMAX INCORPORATED,,NAPERVILLE,Illinois,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,86113,SOUTH EAST,"HARMAN,KIM","JARAMILLO,TIMO",WHITFIELD KARA,Mfg & Dist:4,Retail
PIEDMONT HOSPITAL INC,,ATLANTA,Georgia,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,88024,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
PUBLICIS USA HOLDINGS INC,,ATLANTA,Georgia,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,88798,NEW BUSINESS,"LANGMACK,TAMARA","BROWN,RENEE",WHITFIELD KARA,Other Industries:5,Marketing/Advertising/PR
SHAW INDUSTRIES GROUP INC,,DALTON,Georgia,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,93554,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Mfg & Dist:4,Consumer Packaged Goods
TNC (US) HOLDINGS INC,,NEW YORK,New York,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,99225,SOUTH EAST,"HARMAN,KIM","JARAMILLO,TIMO",WHITFIELD KARA,Mfg & Dist:4,Retail
TROUTMAN SANDERS LLP,,ATLANTA,Georgia,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,98071,SOUTH EAST,"GORHAM,ALEC","MERRICK,REBECCA",WHITFIELD KARA,Other Industries:5,Personal Services
US SECURITY ASSOCIATES HOLDINGS INC,,ROSWELL,Georgia,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,100471,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Other Industries:5,Business Services
VERITIV CORPORATION,,NORCROSS,Georgia,,,,CORPORATE,Hempstead Kristin,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,500500285,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Mfg & Dist:4,Wholesale Trade
BON SECOURS HEALTH SYSTEM INC,,MARRIOTTSVILLE,Maryland,,,,CORPORATE,Jordan Megan,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,59811,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
BROADSOFT INC,,GAITHERSBURG,Maryland,,,,CORPORATE,Jordan Megan,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,600633175,NEW BUSINESS,"CARPER,MARK","TORRES,ALEX",WHITFIELD KARA,Other Industries:5,Computer Software/Services
CARILION CLINIC,,ROANOKE,Virginia,,,,CORPORATE,Jordan Megan,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,61282,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Other Industries:5,Business Services
CENTRAL SERVICES OF THE ROMAN CATHOLIC ARCHBIS,,BALTIMORE,Maryland,,,,CORPORATE,Jordan Megan,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,61891,MID ATLANTIC,"YOUNG,STEVE","LOERA,SANDRA",WHITFIELD KARA,Other Industries:5,Charities
FEDERAL NATIONAL MORTGAGE ASSOCIATION,,WASHINGTON,District of Columbia,,,,CORPORATE,Jordan Megan,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,70365,MID ATLANTIC,"YOUNG,STEVE","LOERA,SANDRA",WHITFIELD KARA,Financial Services Industry:2,Banking
GENPACT LLC,,RESTON,Virginia,,,,CORPORATE,Jordan Megan,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,73741,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Other Industries:5,Computer Software/Services
HOST HOTELS & RESORTS LP,,BETHESDA,Maryland,,,,CORPORATE,Jordan Megan,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,76580,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Other Industries:5,Hotels/Tourism/Travel Services
MARS INCORPORATED,,MC LEAN,Virginia,,,,CORPORATE,Jordan Megan,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,83021,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Mfg & Dist:4,Consumer Packaged Goods
MARYLAND SOUTHERN HOSPITAL INC,,CLINTON,Maryland,,,,CORPORATE,Jordan Megan,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,81696,MID ATLANTIC,"YOUNG,STEVE","LOERA,SANDRA",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
MCCORMICK & COMPANY INCORPORATED,,SPARKS,Maryland,,,,CORPORATE,Jordan Megan,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,82782,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Mfg & Dist:4,Consumer Packaged Goods
NVR INC,,RESTON,Virginia,,,,CORPORATE,Jordan Megan,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,85280,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Other Industries:5,Construction
PFGC INC,,RICHMOND,Virginia,,,,CORPORATE,Jordan Megan,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,87605,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Mfg & Dist:4,Wholesale Trade
SLM CORPORATION,,NEWARK,Delaware,,,,CORPORATE,Jordan Megan,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,95394,NEW BUSINESS,"PETERS,BILL","ARAGON,ROMELIA",WHITFIELD KARA,Financial Services Industry:2,Banking
SMITHFIELD FOODS INC,,SMITHFIELD,Virginia,,,,CORPORATE,Jordan Megan,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,94493,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Mfg & Dist:4,Consumer Packaged Goods
T ROWE PRICE GROUP INC,,BALTIMORE,Maryland,,,,CORPORATE,Jordan Megan,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,96973,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Financial Services Industry:2,Financial Markets
THE AES CORPORATION,,ARLINGTON,Virginia,,,,CORPORATE,Jordan Megan,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,96269,NEW BUSINESS,"BUXTON,JIM","STANFORD,JACQUELINE",WHITFIELD KARA,Mfg & Dist:4,Utilities
THE CHEMOURS COMPANY,,Wilmington,Delaware,,,,CORPORATE,Jordan Megan,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,503067467,NEW BUSINESS,"PETERS,BILL","ARAGON,ROMELIA",WHITFIELD KARA,Mfg & Dist:4,Process Manufacturing
UNIVERSAL CORPORATION,,RICHMOND,Virginia,,,,CORPORATE,Jordan Megan,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,100991,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Mfg & Dist:4,Wholesale Trade
ALIGHT US LLC,,CHICAGO,Illinois,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,602512536,NORTH CENTRAL,"KOLIAS,CHRIS","AWE,COURTNEY",WHITFIELD KARA,Other Industries:5,Business Consultancy
ALLIANT ENERGY CORPORATION,,MADISON,Wisconsin,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,356478,NORTH CENTRAL,"MORROW,KENNETH","TORRES,CAMERON",WHITFIELD KARA,Mfg & Dist:4,Utilities
BAKER & MCKENZIE LLP,,CHICAGO,Illinois,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,57031,NEW BUSINESS,"LANGMACK,TAMARA","BROWN,RENEE",WHITFIELD KARA,Other Industries:5,Legal Services
BAXALTA INCORPORATED,,DEERFIELD,Illinois,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,502867459,NEW BUSINESS,"LANGMACK,TAMARA","BROWN,RENEE",WHITFIELD KARA,Health & Life Sciences:3,Pharmaceutical
CENTRACARE CLINIC,,SAINT CLOUD,Minnesota,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,456263,NORTH CENTRAL,"NEWELL,CHRIS","TRAHAN,CAYLA",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
DURACELL INC,,BETHEL,Connecticut,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,504467438,NEW BUSINESS,"PETERS,BILL","ARAGON,ROMELIA",WHITFIELD KARA,Mfg & Dist:4,Process Manufacturing
G&K SERVICES INC,,MINNETONKA,Minnesota,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,72429,MID ATLANTIC,"JOHNSON,TRACY","STEVENSON,SARA",WHITFIELD KARA,Other Industries:5,Business Services
HEALTH CARE SERVICE CORPORATION A MUTUAL LEGAL,,CHICAGO,Illinois,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,75226,NORTH CENTRAL,"HAMLIN,HOLLY","NIDEL,MATHEW",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Payers
HEALTHPARTNERS INC,,BLOOMINGTON,Minnesota,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,75463,NEW BUSINESS,"LANGMACK,TAMARA","BROWN,RENEE",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Payers
HOSPITAL SISTERS HEALTH SYSTEM,,SPRINGFIELD,Illinois,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,76400,NORTH CENTRAL,"SNY,KYLE","TORRES,CAMERON",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
LANDS END INC,,DODGEVILLE,Wisconsin,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,500176628,NEW BUSINESS,"LANGMACK,TAMARA","BROWN,RENEE",WHITFIELD KARA,Mfg & Dist:4,Retail
LIFETOUCH INC,,EDEN PRAIRIE,Minnesota,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,79905,NEW BUSINESS,"LANGMACK,TAMARA","BROWN,RENEE",WHITFIELD KARA,Other Industries:5,Personal Services
MAYER BROWN LLP,,CHICAGO,Illinois,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,82327,NEW BUSINESS,"LANGMACK,TAMARA","BROWN,RENEE",WHITFIELD KARA,Other Industries:5,Legal Services
MCGLADREY LLP,,CHICAGO,Illinois,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,82810,NEW BUSINESS,"LANGMACK,TAMARA","BROWN,RENEE",WHITFIELD KARA,Other Industries:5,Accounting
METHODIST HEALTH SERVICES CORPORATION,,PEORIA,Illinois,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,83064,NORTH CENTRAL,"NEWELL,CHRIS","TRAHAN,CAYLA",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
MIDAS INC,,ITASCA,Illinois,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,82243,NEW BUSINESS,"TERSIGNI,JOE","SANCHEZ,RICH",WHITFIELD KARA,Other Industries:5,Business Services
NICOR INC,,NAPERVILLE,Illinois,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,86162,NEW BUSINESS,"DEWBERRY,BLAKE","GALLEGOS,BEN",WHITFIELD KARA,Mfg & Dist:4,Oil and Gas
NORTHERN TRUST CORPORATION,,CHICAGO,Illinois,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,85985,NORTH CENTRAL,"SULLIVAN,MARIA","RUSSELL,TOM",WHITFIELD KARA,Financial Services Industry:2,Banking
PROCTOR HOSPITAL,,PEORIA,Illinois,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,89386,NORTH CENTRAL,"NEWELL,CHRIS","TRAHAN,CAYLA",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
PROTESTANT MEMORIAL MEDICAL CENTER INC,,BELLEVILLE,Illinois,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,92087,NEW BUSINESS,"LANGMACK,TAMARA","BROWN,RENEE",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
REYNOLDS PACKAGING GROUP LTD,,RICHMOND,Virginia,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,88972,NEW BUSINESS,"LANGMACK,TAMARA","BROWN,RENEE",WHITFIELD KARA,Other Industries:5,Business Services
SAGE PRODUCTS INC,,CARY,Illinois,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,92276,MID ATLANTIC,"MADIS,PHIL","EVERHEART,TERESA",WHITFIELD KARA,Mfg & Dist:4,Discrete - High Tech
SCHNEIDER NATIONAL INC,,GREEN BAY,Wisconsin,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,92492,NEW BUSINESS,"LANGMACK,TAMARA","BROWN,RENEE",WHITFIELD KARA,Mfg & Dist:4,Transportation&Trans Services
SEARS HOLDINGS CORPORATION,,HOFFMAN ESTATES,Illinois,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,93985,NEW BUSINESS,"LANGMACK,TAMARA","BROWN,RENEE",WHITFIELD KARA,Mfg & Dist:4,Retail
SIDLEY AUSTIN LLP,,CHICAGO,Illinois,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,93651,NEW BUSINESS,"LANGMACK,TAMARA","BROWN,RENEE",WHITFIELD KARA,Other Industries:5,Legal Services
STERICYCLE INC,,LAKE FOREST,Illinois,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,94954,NORTH CENTRAL,"MORROW,KENNETH","TORRES,CAMERON",WHITFIELD KARA,Mfg & Dist:4,Utilities
THE HEINZ KRAFT COMPANY,,PITTSBURGH,Pennsylvania,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,501997591,NORTH CENTRAL,"HAMLIN,HOLLY","NIDEL,MATHEW",WHITFIELD KARA,Mfg & Dist:4,Consumer Packaged Goods
THE NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY,,MILWAUKEE,Wisconsin,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,98604,NORTH CENTRAL,"MORROW,KENNETH","TORRES,CAMERON",WHITFIELD KARA,Financial Services Industry:2,Insurance
THE PAMPERED CHEF LTD,,ADDISON,Illinois,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,98718,NORTH CENTRAL,"SULLIVAN,MARIA","RUSSELL,TOM",WHITFIELD KARA,Mfg & Dist:4,Retail
THE SCHWAN FOOD COMPANY,,MARSHALL,Minnesota,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,99203,NEW BUSINESS,"LANGMACK,TAMARA","BROWN,RENEE",WHITFIELD KARA,Mfg & Dist:4,Consumer Packaged Goods
VEOLIA ENVIRONMENTAL SERVICES NORTH AMERICA CO,,CHICAGO,Illinois,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,454617,NORTH CENTRAL,"HAMLIN,HOLLY","NIDEL,MATHEW",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Providers
WISCONSIN PHYSICIANS SERVICE INSURANCE CORPORA,,MONONA,Wisconsin,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,103366,NORTH CENTRAL,"MORROW,KENNETH","TORRES,CAMERON",WHITFIELD KARA,Health & Life Sciences:3,Healthcare Payers
WORLD BOOK INC,,CHICAGO,Illinois,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,101810,NORTH CENTRAL,"SULLIVAN,MARIA","RUSSELL,TOM",WHITFIELD KARA,Mfg & Dist:4,Discrete - Media & Ent.
XCEL ENERGY INC,,MINNEAPOLIS,Minnesota,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,102433,NEW BUSINESS,"LANGMACK,TAMARA","BROWN,RENEE",WHITFIELD KARA,Mfg & Dist:4,Utilities
ZENSAR TECHNOLOGIES INC,,OAK BROOK,Illinois,,,,CORPORATE,Justice Andrew,Snyder Benjamin,EAST/HUNTER,WHITFIELD KARA,103646,NEW BUSINESS,"PETERS,BILL","ARAGON,ROMELIA",WHITFIELD KARA,Other Industries:5,Computer Software/Services
